state,state_nm,awards_funded
AK,Alaska,41
AL,Alabama,141
AR,Arkansas,51
AZ,Arizona,243
CA,California,"1,167"
CO,Colorado,275
CT,Connecticut,126
DC,District of Columbia,148
DE,Delaware,67
FL,Florida,361
GA,Georgia,264
GU,Guam,1
HI,Hawaii,60
IA,Iowa,124
ID,Idaho,56
IL,Illinois,454
IN,Indiana,262
KS,Kansas,85
KY,Kentucky,81
LA,Louisiana,131
MA,Massachusetts,672
MD,Maryland,233
ME,Maine,51
MI,Michigan,376
MN,Minnesota,158
MO,Missouri,126
MS,Mississippi,65
MT,Montana,51
NC,North Carolina,331
ND,North Dakota,19
NE,Nebraska,85
NH,New Hampshire,51
NJ,New Jersey,249
NM,New Mexico,92
NV,Nevada,50
NY,New York,762
OH,Ohio,206
OK,Oklahoma,95
OR,Oregon,130
PA,Pennsylvania,512
PR,Puerto Rico,30
RI,Rhode Island,148
SC,South Carolina,137
SD,South Dakota,42
TN,Tennessee,170
TX,Texas,640
UT,Utah,110
VA,Virginia,347
VI,Virgin Islands,2
VT,Vermont,34
WA,Washington,226
WI,Wisconsin,166
WV,West Virginia,52
WY,Wyoming,26